StationCode,SampleDate,CollectionTime,CollectionDepth,UnitCollectionDepth,Analyte,Unit,Result,latitude,longitude,PositionWaterColumn,Huc12_name,Huc12_number
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Mevinphos, Total",ug/L,-0.0042,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Arsenic, Total",ug/L,1.2,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Lead, Dissolved",ug/L,-0.024,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2011 12:00:00 AM,12/30/1899 11:00:00 AM,-88,m,"AFDM_Algae, Particulate",g/m2,22.75,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Selenium, Total",ug/L,0.79,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Dissolved Organic Carbon, Dissolved",mg/L,3.2,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Nitrate as N, Total",mg/L,0.48,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"COD, Total",mg/L,6.2,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 3:22:00 PM,-88,m,"Ammonia as N, Total",mg/L,0.54,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 3:22:00 PM,-88,m,"Dissolved Organic Carbon, Dissolved",mg/L,4.1,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Demeton-O, Total",ug/L,-0.01,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Fenthion, Total",ug/L,-0.0038,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Magnesium, Total",mg/L,40.6,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Chromium, Total",ug/L,0.21,33.398142,-117.26273,Not Recorded,NA,NA
